sys1,sys2,topic,p,rbo,rbow,rboa,rbob
cmuBase10,cmuFuTop10,51,0.8,0.833630580209848,0.833630580208768,0.833630580209848,0.83363058021036
cmuBase10,cmuFuTop10,51,0.9,0.773127270912133,0.773127224096212,0.773127270912132,0.773127297748902
cmuBase10,cmuFuTop10,51,0.95,0.739302373554431,0.739298088313122,0.73930237331391,0.739305267768524
cmuBase10,cmuFuTop10,52,0.8,0.427902055219093,0.427901778296594,0.427902055219093,0.427902196739251
cmuBase10,cmuFuTop10,52,0.9,0.582614076150063,0.582600390131161,0.582614076150063,0.582621070333966
cmuBase10,cmuFuTop10,52,0.95,0.665948804935486,0.66589223460669,0.665948804924347,0.665977686580854
cmuBase10,cmuFuTop10,53,0.8,0.83284845826832,0.83256662436442,0.83284845826832,0.83299907380123
cmuBase10,cmuFuTop10,53,0.9,0.776568150592102,0.77583482973463,0.776568150592102,0.77701492018617
cmuBase10,cmuFuTop10,53,0.95,0.748031173646261,0.747394848275136,0.748031173628992,0.748597091339002
cmuBase10,cmuFuTop10,54,0.8,0.883906297381116,0.883905270691235,0.883906297381116,0.883906824091489
cmuBase10,cmuFuTop10,54,0.9,0.800750385150959,0.800725221866922,0.800750385150959,0.800763295745715
cmuBase10,cmuFuTop10,54,0.95,0.722246518815578,0.722167444707892,0.722246518815578,0.722287846561017
cmuBase10,cmuFuTop10,55,0.8,0.978137645211218,0.978137645220923,0.978137645211059,0.97813764521984
cmuBase10,cmuFuTop10,55,0.9,0.936993880903978,0.936993958976428,0.936993869409506,0.936993937242636
cmuBase10,cmuFuTop10,55,0.95,0.865552344482444,0.865555536862467,0.865551206543407,0.86555434163654
cmuBase10,cmuFuTop10,56,0.8,0.176759081958647,0.176753155922254,0.176759081958647,0.176762837213606
cmuBase10,cmuFuTop10,56,0.9,0.325681562568794,0.325646401881708,0.325681562568798,0.325726852268281
cmuBase10,cmuFuTop10,56,0.95,0.441255434353544,0.441247654353148,0.441255435045692,0.441359770956298
cmuBase10,cmuFuTop10,57,0.8,0.450060844188926,0.450060844188926,0.450060844188926,0.450060844188926
cmuBase10,cmuFuTop10,57,0.9,0.55479862416054,0.554798624171829,0.55479862417003,0.554798624173881
cmuBase10,cmuFuTop10,57,0.95,0.640343911010991,0.640343949788552,0.640343944672019,0.640343958962601
cmuBase10,cmuFuTop10,58,0.8,0.915682201700222,0.915682201700222,0.915682201700222,0.915682201700222
cmuBase10,cmuFuTop10,58,0.9,0.886463226934584,0.886463226934584,0.886463226934585,0.886463226934586
cmuBase10,cmuFuTop10,58,0.95,0.853889596905385,0.85388959695965,0.853889597231486,0.853889597545837
cmuBase10,cmuFuTop10,59,0.8,0.50803875751359,0.508038757513555,0.50803875751359,0.508038757513609
cmuBase10,cmuFuTop10,59,0.9,0.59623036761616,0.59623036289145,0.596230367616145,0.596230369997891
cmuBase10,cmuFuTop10,59,0.95,0.624935211616342,0.624934482931757,0.624935210628939,0.624935578244281
cmuBase10,cmuFuTop10,60,0.8,0.900128311736308,0.900128306342722,0.900128311701362,0.900128314440707
cmuBase10,cmuFuTop10,60,0.9,0.812179589683544,0.812177515631676,0.812179419148016,0.812180501285372
cmuBase10,cmuFuTop10,60,0.95,0.758628918781431,0.758606495059958,0.758623279403014,0.758637060375073
cmuBase10,cmuFuTop10,61,0.8,0.332924492391702,0.332323035811463,0.332924492391702,0.333275183373982
cmuBase10,cmuFuTop10,61,0.9,0.437449036712239,0.43689153073876,0.437449036727063,0.437905839884627
cmuBase10,cmuFuTop10,61,0.95,0.574857986235063,0.574626317237318,0.574858028588727,0.575269285747833
cmuBase10,cmuFuTop10,62,0.8,0.107851984387168,0.10723693463651,0.107851984387168,0.108196107971864
cmuBase10,cmuFuTop10,62,0.9,0.196603147798657,0.195954062177482,0.196603147798657,0.197002617423372
cmuBase10,cmuFuTop10,62,0.95,0.292001656607915,0.291668281736746,0.292001656626098,0.292312245434851
cmuBase10,cmuFuTop10,63,0.8,0.129549520127327,0.129549350009941,0.129549521353324,0.129549609489728
cmuBase10,cmuFuTop10,63,0.9,0.259007651205384,0.258999554683327,0.259008674658907,0.259013849291967
cmuBase10,cmuFuTop10,63,0.95,0.370029206584213,0.370008935701467,0.370044635920733,0.370070595458681
cmuBase10,cmuFuTop10,64,0.8,0.409996667955412,0.409997625067696,0.409996668034481,0.410000126297937
cmuBase10,cmuFuTop10,64,0.9,0.507343661359858,0.50742389855359,0.507343723921862,0.507464510188302
cmuBase10,cmuFuTop10,64,0.95,0.58740271101102,0.587811961757317,0.58739968901575,0.58791111274055
cmuBase10,cmuFuTop10,65,0.8,0.936275413690307,0.936275413368336,0.936275413690307,0.936275413874824
cmuBase10,cmuFuTop10,65,0.9,0.908630742236283,0.908630211599324,0.908630742236283,0.908631199168589
cmuBase10,cmuFuTop10,65,0.95,0.899982263370792,0.899970061392876,0.899982263335866,0.900002801692927
cmuBase10,cmuFuTop10,66,0.8,0.265741916642873,0.265741916633234,0.265741916642873,0.265741916649232
cmuBase10,cmuFuTop10,66,0.9,0.419848951094245,0.419848936137209,0.419848951075715,0.419849037098396
cmuBase10,cmuFuTop10,66,0.95,0.551961405035345,0.55196656753879,0.551961357515769,0.551967860845583
cmuBase10,cmuFuTop10,67,0.8,0.625942192616354,0.621721786956559,0.625942192616354,0.628387913874691
cmuBase10,cmuFuTop10,67,0.9,0.5874998155294,0.58370952219712,0.587499815529437,0.589818549182868
cmuBase10,cmuFuTop10,67,0.95,0.555691649812993,0.553333553289225,0.555691651725066,0.557429352992703
cmuBase10,cmuFuTop10,68,0.8,0.699075190328744,0.699075190328744,0.699075190328744,0.699075190328744
cmuBase10,cmuFuTop10,68,0.9,0.656044066852757,0.656044066805765,0.656044066789318,0.656044066812845
cmuBase10,cmuFuTop10,68,0.95,0.608449028295947,0.608448961813579,0.60844893854285,0.60844897183714
cmuBase10,cmuFuTop10,69,0.8,0.514470278332285,0.514454999435867,0.514470306317534,0.514476382449622
cmuBase10,cmuFuTop10,69,0.9,0.545601145407801,0.545239272033076,0.545606198128592,0.545755910026119
cmuBase10,cmuFuTop10,69,0.95,0.565119926653085,0.564048694055443,0.565157644605506,0.56562909544514
cmuBase10,cmuFuTop10,70,0.8,0.785576560228207,0.785576734528531,0.785576558671386,0.785576631336987
cmuBase10,cmuFuTop10,70,0.9,0.727339898356992,0.727364763624751,0.727338743140439,0.727348937707063
cmuBase10,cmuFuTop10,70,0.95,0.693238725158114,0.693401388314421,0.693222248504386,0.693296650055112
cmuBase10,cmuFuTop10,71,0.8,0.978001029130686,0.978001029117827,0.978001029130686,0.978001029136277
cmuBase10,cmuFuTop10,71,0.9,0.929865885205107,0.929865744396783,0.929865885205107,0.929865948088665
cmuBase10,cmuFuTop10,71,0.95,0.845444791595119,0.84543692013055,0.845444791551447,0.845448379203417
cmuBase10,cmuFuTop10,72,0.8,0.468439442675472,0.468439629874866,0.468441306867531,0.468443171335228
cmuBase10,cmuFuTop10,72,0.9,0.431909359350852,0.431933585538415,0.43195480516612,0.431996432424396
cmuBase10,cmuFuTop10,72,0.95,0.482504387772524,0.482618073076978,0.482639700868661,0.482774152850109
cmuBase10,cmuFuTop10,73,0.8,0.879166310551869,0.87916631021942,0.879166310551869,0.879166310720218
cmuBase10,cmuFuTop10,73,0.9,0.849109018501562,0.849108515278694,0.849109018501446,0.849109275425773
cmuBase10,cmuFuTop10,73,0.95,0.836099118364891,0.836089019152159,0.836099114741273,0.836104791374611
cmuBase10,cmuFuTop10,74,0.8,0.620733243847507,0.620733126022958,0.620733243847507,0.620733301933573
cmuBase10,cmuFuTop10,74,0.9,0.621932823522144,0.62191636890922,0.621932823522144,0.621940453225645
cmuBase10,cmuFuTop10,74,0.95,0.60584742370239,0.605702475849276,0.605847423702391,0.605914961419448
cmuBase10,cmuFuTop10,75,0.8,0.828869182623828,0.828564748547217,0.828869182623848,0.829038893752079
cmuBase10,cmuFuTop10,75,0.9,0.750630462193896,0.750105218819574,0.750630466365692,0.751005029940106
cmuBase10,cmuFuTop10,75,0.95,0.707828204400689,0.707467295085075,0.707829002788197,0.708235575489259
cmuBase10,cmuFuTop10,76,0.8,0.929717295703455,0.929717295227109,0.929717295703455,0.9297172959621
cmuBase10,cmuFuTop10,76,0.9,0.899216448666245,0.899216004174296,0.899216448666245,0.899216794454654
cmuBase10,cmuFuTop10,76,0.95,0.877703076577097,0.877698431987527,0.877703076577099,0.877710241832628
cmuBase10,cmuFuTop10,77,0.8,0.151314466324985,0.151314311752387,0.151314466316471,0.151314545261501
cmuBase10,cmuFuTop10,77,0.9,0.331970496556278,0.331959727360111,0.331970412237972,0.331976152209657
cmuBase10,cmuFuTop10,77,0.95,0.52014050653317,0.52008865362351,0.52013655009978,0.520170053040694
cmuBase10,cmuFuTop10,78,0.8,0.728797882927766,0.728795407047687,0.728794788077667,0.728796035823211
cmuBase10,cmuFuTop10,78,0.9,0.736355259106506,0.736307569053399,0.736295646540123,0.736319680438915
cmuBase10,cmuFuTop10,78,0.95,0.757255286980556,0.757127843162751,0.757095982184932,0.757160208999709
cmuBase10,cmuFuTop10,79,0.8,0.707938941193927,0.707938941185267,0.707938941193927,0.707938941197355
cmuBase10,cmuFuTop10,79,0.9,0.735447311954076,0.735447110722446,0.735447311954076,0.73544739589904
cmuBase10,cmuFuTop10,79,0.95,0.764992701637153,0.7649766951892,0.764992701636186,0.765000090249397
cmuBase10,cmuFuTop10,80,0.8,0.944251613029982,0.944251381934815,0.944251613029982,0.944251730825916
cmuBase10,cmuFuTop10,80,0.9,0.901286645007387,0.901267267859499,0.901286645006913,0.901296945778324
cmuBase10,cmuFuTop10,80,0.95,0.870516144453328,0.870389843516666,0.870516137219995,0.870607080474639
cmuBase10,cmuFuTop10,81,0.8,0.79187403508282,0.79187403508282,0.79187403508282,0.79187403508282
cmuBase10,cmuFuTop10,81,0.9,0.797219662722208,0.797219662722675,0.797219662722588,0.797219662722743
cmuBase10,cmuFuTop10,81,0.95,0.791337209499304,0.79133721864512,0.791337215967658,0.791337219015109
cmuBase10,cmuFuTop10,82,0.8,0.275686440863384,0.275686440863329,0.275686440863284,0.275686440863312
cmuBase10,cmuFuTop10,82,0.9,0.409307882112681,0.409307876940232,0.409307872803421,0.409307875388676
cmuBase10,cmuFuTop10,82,0.95,0.462281529478148,0.462280816731725,0.462280309258594,0.462280663749947
cmuBase10,cmuFuTop10,83,0.8,0.608001108563809,0.601552433229046,0.607952241378086,0.613490541773264
cmuBase10,cmuFuTop10,83,0.9,0.545024099608672,0.546956388258342,0.54488101879942,0.557686392537166
cmuBase10,cmuFuTop10,83,0.95,0.544255381617728,0.555948144080827,0.544083971760201,0.560330284102636
cmuBase10,cmuFuTop10,84,0.8,0.939768033740455,0.939433315736822,0.939768033557621,0.939999120898309
cmuBase10,cmuFuTop10,84,0.9,0.900030693458245,0.89924668500077,0.900030301846527,0.900967865367472
cmuBase10,cmuFuTop10,84,0.95,0.845137951892915,0.844438094613213,0.845128853106096,0.846503508797057
cmuBase10,cmuFuTop10,85,0.8,0.869398129273859,0.869398129112467,0.869398129273859,0.869398129355547
cmuBase10,cmuFuTop10,85,0.9,0.792478126613625,0.792477783851759,0.792478126613625,0.792478302746185
cmuBase10,cmuFuTop10,85,0.95,0.755912682777446,0.75590567741756,0.755912682777447,0.755917174977322
cmuBase10,cmuFuTop10,86,0.8,0.634628730389656,0.634628728843209,0.634628730389888,0.634628731063606
cmuBase10,cmuFuTop10,86,0.9,0.552314896723847,0.552313397206075,0.552314894418425,0.552315576622041
